[2025-05-07 14:36:36] Action: Ajout | Détails: Titre: ines, Type: Cour, Lien: https://youtu.be/FnIXocgAVJ4?si=2Coh9qbkqaVlA8Zq
[2025-05-07 13:43:12] Action: Modification | Détails: ID: 84, Titre: mama behya, Type: Vedio, Lien: https://youtu.be/MspLXPfFzjg?si=Lo4MrOZ6BG5uojDo
[2025-05-07 18:03:39] Action: Ajout | Détails: Titre: introduction , Type: Article, Lien: https://youtu.be/lc24lSxY334?si=G7Wtbg31bth8LSM1
[2025-05-07 17:04:16] Action: Modification | Détails: ID: 139, Titre: Mehdi Bar, Type: Evenement, Lien: https://youtu.be/FnIXocgAVJ4?si=2Coh9qbkqaVlA8Zq
[2025-05-07 18:05:03] Action: Ajout | Détails: Titre: fares, Type: Article, Lien: https://www.bibmath.net/ressources/index.php?action=affiche&quoi=mathspe/cours/suiserfonc.html
[2025-05-07 17:42:05] Action: Modification | Détails: ID: 133, Titre: statistique12, Type: Cour, Lien: https://youtu.be/FnIXocgAVJ4?si=2Coh9qbkqaVlA8Zq
[2025-05-07 19:33:38] Action: Suppression | Détails: Ressource "Mehdi Bar" avec ID: 139 supprimée.
[2025-05-07 19:34:06] Action: Suppression | Détails: Ressource "brahim" avec ID: 146 supprimée.
[2025-05-07 19:34:37] Action: Ajout | Détails: Titre: koko, Type: Cour, Lien: https://www.bibmath.net/ressources/index.php?action=affiche&quoi=mathspe/cours/suiserfonc.html
[2025-05-07 20:12:28] Action: Ajout | Détails: Titre: canva, Type: Evenement, Lien: https://youtu.be/NyPx64LjdJM?si=3ymZunaWmlC7BRBe
[2025-05-07 19:15:10] Action: Modification | Détails: ID: 150, Titre: canvapro, Type: Evenement, Lien: https://youtu.be/NyPx64LjdJM?si=3ymZunaWmlC7BRBe
[2025-05-07 19:16:12] Action: Modification | Détails: ID: 147, Titre: Introduction au HTML, Type: Article, Lien: https://youtu.be/lc24lSxY334?si=G7Wtbg31bth8LSM1
[2025-05-07 20:16:34] Action: Suppression | Détails: Ressource "koko" avec ID: 149 supprimée.
[2025-05-08 21:51:55] Action: Ajout | Détails: Titre: rarara, Type: Cour, Lien: https://www.bibmath.net/ressources/index.php?action=affiche&quoi=mathspe/cours/suiserfonc.html
[2025-05-08 20:53:56] Action: Modification | Détails: ID: 151, Titre: rarahmalab, Type: Cour, Lien: https://www.bibmath.net/ressources/index.php?action=affiche&quoi=mathspe/cours/suiserfonc.html
[2025-05-08 21:58:51] Action: Ajout | Détails: Titre: israa, Type: Cour, Lien: https://youtu.be/lc24lSxY334?si=G7Wtbg31bth8LSM1
[2025-05-08 20:59:30] Action: Modification | Détails: ID: 152, Titre: israa12, Type: Cour, Lien: https://youtu.be/lc24lSxY334?si=G7Wtbg31bth8LSM1
[2025-05-08 21:00:56] Action: Modification | Détails: ID: 130, Titre: initiation20, Type: Evenement, Lien: https://youtu.be/FnIXocgAVJ4?si=2Coh9qbkqaVlA8Zq
[2025-05-08 22:04:11] Action: Ajout | Détails: Titre: zeineb, Type: Article, Lien: https://youtu.be/MspLXPfFzjg?si=Lo4MrOZ6BG5uojDo
[2025-05-08 22:05:34] Action: Suppression | Détails: Ressource "zeineb" avec ID: 153 supprimée.
[2025-05-09 10:20:59] Action: Ajout | Détails: Titre: koko, Type: Cour, Lien: https://youtu.be/FnIXocgAVJ4?si=2Coh9qbkqaVlA8Zq
